"Kreis","Land- und Forstwirtschaft, Fischerei (A)","Produzierendes Gewerbe ohne Baugewerbe (B-E)","Verarbeitendes Gewerbe (C)","Baugewerbe (F)","Handel,Verkehr,Gastgewerbe,Informa-/Kommunikation","Fin-,Vers.-,Unt.-dienstl.,Grundst.-/Wohnungswesen","öffentl. u. sonst. Dienstl.,Erziehung, Gesundheit"
"Kitzingen, Landkreis",2.6,11.4,11.1,2.6,12.2,3.5,13.1
"Miltenberg, Landkreis",0.7,19.3,18.9,4.2,14.4,7.2,13.3
"Main-Spessart, Landkreis",1.2,23.1,22.4,4.1,12.3,5.5,15.6
"Schweinfurt, Landkreis",1.5,6,5.1,2.8,10.8,3.5,10.5
"Würzburg, Landkreis",2.1,11.2,10.9,4.4,14.2,10.2,14.2
"Augsburg",0.2,34.5,30.9,6.3,43.7,39.1,69
"Kaufbeuren",0.1,3.8,3.5,1.3,5.2,3.6,10.7
"Kempten (Allgäu)",0.5,7.2,6.2,1.4,18.1,9.2,16.7
"Memmingen",0.2,10,9.8,2.7,8.9,6.1,10.4
"Aichach-Friedberg, Landkreis",2.1,12.9,12.6,5.2,14.7,5.4,12.6
"Augsburg, Landkreis",2.3,24.3,23.3,7.8,28.6,14.5,24.3
"Dillingen a.d.Donau, Landkreis",1.8,13.4,12.9,3.6,9.8,4.4,12.5
"Günzburg, Landkreis",1.5,18.3,17.1,5.3,13.7,7,20.8
"Neu-Ulm, Landkreis",1,27.1,26.6,4.4,23.2,10.5,18.6
"Lindau (Bodensee), Landkreis",1.5,14.1,13.5,2.6,9.4,4.8,10.5
"Ostallgäu, Landkreis",3.7,19,18.4,6.8,15.5,5.4,17.2
"Unterallgäu, Landkreis",3.9,22.9,22.2,6.5,14.9,5.5,14.5
"Donau-Ries, Landkreis",2.6,28,27.5,4.9,17.5,10.1,17.4
"Oberallgäu, Landkreis",3.5,16.5,15.8,5.7,22.4,8.2,16.5
"Saarbrücken, Regionalverband",0.3,34.6,30.5,7.8,52.6,42.4,70.1
"Merzig-Wadern, Landkreis",0.7,8.6,8.3,3.1,13,5,12.9
"Neunkirchen, Landkreis",0.2,10.7,10.1,4.3,13.2,6.7,18.7
"Saarlouis, Landkreis",0.5,26.5,25.7,4.8,23,14.7,24.9
"Saarpfalz-Kreis",0.5,24.2,23.5,4.3,18.6,12.1,24
"St. Wendel, Landkreis",0.4,10.1,9.8,2.2,8.2,4.3,11
"Berlin",0.5,139.5,119.6,80.2,488.6,403.8,730.6
"Brandenburg an der Havel, Kreisfreie Stadt",0.2,5.7,5.3,2.2,7.5,6.7,15.6
"Cottbus, Kreisfreie Stadt",0.2,3.1,2.1,2.9,15,14.4,26.2
"Frankfurt (Oder), Kreisfreie Stadt",0.4,1.7,1.1,2,7.4,8.2,17.5
"Potsdam, Kreisfreie Stadt",0.2,3.5,2.1,3.8,22.4,29.2,48.6
"Barnim, Landkreis",1.3,6.9,5.8,6.5,17.1,9.3,24.2
"Dahme-Spreewald, Landkreis",2.4,8.5,7.4,6.7,24.5,11.1,18.8
"Elbe-Elster, Landkreis",2.2,8.7,7.7,4.6,9.3,4.7,14.7
"Havelland, Landkreis",1.8,10.2,9.5,5.3,17.4,7.1,15.1
"Märkisch-Oderland, Landkreis",2.3,6.6,5.4,8.2,18.5,8.4,22.1
"Oberhavel, Landkreis",1.6,13.5,12.1,7.5,18.3,11.4,24.3
"Oberspreewald-Lausitz, Landkreis",1.2,9.4,8,5.3,10.8,8,14.7
"Oder-Spree, Landkreis",1.9,12.3,9.7,8.2,17.6,8.5,23.6
"Ostprignitz-Ruppin, Landkreis",2.8,7.2,6.8,4.3,10.2,5.5,16.5
"Potsdam-Mittelmark, Landkreis",3.8,9.4,8.3,8.3,23.4,16.9,23.9
"Prignitz, Landkreis",2.3,6.4,5.9,3.4,7.2,4.5,10.7
"Spree-Neiße, Landkreis",2,12,7.1,5.7,9.7,4.8,11.9
"Teltow-Fläming, Landkreis",2,15.8,15,6.6,22.2,9.8,16.3
"Uckermark, Landkreis",2.9,7.9,6.9,4.3,11.9,6.4,17.4
"Kreisfreie Stadt Rostock, Hansestadt",0.1,11.7,9.4,3.7,28.7,25.2,45.4
"Kreisfreie Stadt Schwerin, Landeshauptstadt",0.1,5.8,4.3,2.9,15.5,13.8,27
"Landkreis Mecklenburgische Seenplatte",4.6,14.7,12.5,9.2,32.6,17,43.5
"Landkreis Rostock",4.5,11.4,10.4,7.8,25.8,11.5,29.3
"Landkreis Vorpommern-Rügen",3.2,7.4,6.3,7.1,31.5,13.2,37.5
"Landkreis Nordwestmecklenburg",2.4,12.1,10.7,5.5,14.5,7.4,18.3
"Landkreis Vorpommern-Greifswald",3.3,8.4,7.2,7.3,26.1,17.4,43.1
"Landkreis Ludwigslust-Parchim",5.2,17.9,16.8,7.8,20.9,9.1,25.5
"Chemnitz, Stadt",0.3,21.4,18.2,8.1,34.8,33.5,47.5
"Erzgebirgskreis",2.9,45.2,43.3,15.5,31.7,14,42.6
"Mittelsachsen, Landkreis",4.4,36.8,34.5,13.6,31.6,16.8,40.5
"Vogtlandkreis",2,26.3,24.7,9.8,23.8,12.7,31.1
"Zwickau, Landkreis",1.9,41.1,39.2,12.7,35.2,24.1,44.9
"Dresden, Stadt",0.6,38.8,34.3,15.6,79,70.5,116.2
"Bautzen, Landkreis",3,33.9,31.9,13.3,33.6,19,41.2
"Görlitz, Landkreis",2.7,24.7,21.1,9.4,23.7,13.1,40.1
"Meißen, Landkreis",3,27,25.3,11.1,27.1,14,30.2
"Sächsische Schweiz-Osterzgebirge, Landkreis",2.7,22.8,21,11.3,22.3,10.2,31.6
"Leipzig, Stadt",0.3,31.1,27,15.4,84.5,90,100.6
"Leipzig, Landkreis",2.5,19.1,15.6,12.3,25.3,12,29.5
"Nordsachsen, Landkreis",3.3,17,14.8,10.6,26.1,10.5,25.4
"Dessau-Roßlau, Kreisfreie Stadt",0.3,7,6.5,3.1,8.2,8.1,15.9
"Halle (Saale), Kreisfreie Stadt",0.1,8,6.2,6.1,29.6,27.7,53.6
"Magdeburg, Kreisfreie Stadt",0.1,12.6,10.2,7.1,29.4,34.7,52.4
"Altmarkkreis Salzwedel",2.1,7.3,6.4,3.5,8.8,4.4,11
"Anhalt-Bitterfeld, Landkreis",1.9,19.6,17.3,5.4,15,9.7,19
"Börde, Landkreis",2.6,19.4,17.9,6,20.3,7.4,16.8
"Burgenlandkreis",1.6,14.3,11.7,7,17.5,10.1,22.7
"Harz, Landkreis",1.9,19.3,17.6,7.9,23.1,11.6,28.9
"Jerichower Land, Landkreis",1.6,7.3,6.5,4.2,7.5,4.1,12.3
"Mansfeld-Südharz, Landkreis",1.5,11,9.9,4.7,12.8,5.7,17
"Saalekreis",1.8,19.1,16.2,8.2,23.6,13.7,17.5
"Salzlandkreis",1.5,18.8,16.6,6.1,17.1,9.9,26.9
"Stendal, Landkreis",2.4,6.9,6.5,4.8,10.5,5.5,17.5
"Wittenberg, Landkreis",1.8,12.5,11.7,4.8,11.9,7,14.9
"Erfurt, krsfr. Stadt",0.5,10.9,8.2,6.6,38.6,33.9,49.7
"Gera, krsfr. Stadt",0.2,5.3,4.5,2.8,12.3,9.2,19.5
"Jena, krsfr. Stadt",0,10.3,9.7,2.8,12.8,13.7,28.6
"Suhl, krsfr. Stadt",0,3.1,2.8,1,5,3.9,8.6
"Weimar, krsfr. Stadt",0,3.2,2.7,1.5,7.3,6.7,15.4
"Eisenach, krsfr. Stadt",0.1,7.8,7.4,0.9,6.1,5.7,8.8
"Eichsfeld, Kreis",1,11.9,11.3,5.4,8.8,6.2,12.3
"Nordhausen, Kreis",0.7,8.3,7.4,3.4,8.3,5.3,13.1
"Wartburgkreis",1.5,18.6,17.8,4.2,10.1,6.3,12.5
"Unstrut-Hainich-Kreis",1.5,9.2,8.5,4,9.3,5.7,16.7
"Kyffhäuserkreis",1.1,6.3,5.8,2.6,5.4,3.2,10.7
"Schmalkalden-Meiningen, Kreis",1.1,17.9,16.7,4.8,11.8,6.9,16.9
"Gotha, Kreis",1.3,17.1,16.2,4.8,14.9,7.9,17.4
"Sömmerda, Kreis",1.5,8.5,8,2.7,5.9,3.2,7.1
"Hildburghausen, Kreis",0.9,8.5,8.1,2.6,4.9,2.4,6.9
"Ilm-Kreis",0.8,14.9,14,4.1,11.2,5,13.3
"Weimarer Land, Kreis",1.2,6.3,6,3.9,7.8,3.5,9.9
"Sonneberg, Kreis",0.4,9.8,9.5,1.8,4.5,3.7,7
"Saalfeld-Rudolstadt, Kreis",1,13,11.9,3.8,9.4,5.7,15.5
"Saale-Holzland-Kreis",1.6,8.7,8.3,3.6,8.3,3.5,8.9
"Saale-Orla-Kreis",1.9,13.3,12.7,3.5,7,3.9,9.8
"Greiz, Kreis",1.4,9.7,9.2,4.9,9.3,3.6,10.8
"Altenburger Land, Kreis",1.1,8.9,8.2,3.1,8.5,3.9,10.6
