"Kreis","Land- und Forstwirtschaft, Fischerei (A)","Produzierendes Gewerbe ohne Baugewerbe (B-E)","Verarbeitendes Gewerbe (C)","Baugewerbe (F)","Handel,Verkehr,Gastgewerbe,Informa-/Kommunikation","Fin-,Vers.-,Unt.-dienstl.,Grundst.-/Wohnungswesen","öffentl. u. sonst. Dienstl.,Erziehung, Gesundheit"
"Oberhausen, Kreisfreie Stadt",0.1,14.3,11.2,7.1,24.6,19.6,28.2
"Remscheid, Kreisfreie Stadt",0.1,18.2,17.6,2.7,11.6,10.4,16.1
"Solingen, Kreisfreie Stadt",0.1,19.5,18,3.3,17.2,9.4,22.6
"Wuppertal, Kreisfreie Stadt",0.2,33.3,31.2,6.7,40.9,30.6,58.2
"Kleve, Kreis",8.6,19.6,18.2,9.9,38,21.6,48
"Mettmann, Kreis",1,54.8,52.9,12.5,76.7,40.4,61.4
"Rhein-Kreis Neuss",2.3,37.6,31.2,9.6,65.8,31.2,56.2
"Viersen, Kreis",3.6,23.5,22,8.3,37.4,17.6,37.8
"Wesel, Kreis",3,31.5,27.5,12.4,53,34.2,63.1
"Bonn, Kreisfreie Stadt",0.2,10.6,9.9,4.9,57.5,48.1,114.8
"Köln, Kreisfreie Stadt",0.5,71.6,60.8,21.9,213.4,198.8,227.3
"Leverkusen, Kreisfreie Stadt",0.1,18.2,14.8,3.5,20.7,15.5,23.7
"Städteregion Aachen (einschl. Stadt Aachen)",1.2,48.2,44,13.3,75,50.9,107.4
"Düren, Kreis",2.2,22.1,19.4,7,22.7,26.8,36.4
"Rhein-Erft-Kreis",2,30.6,24,12.2,61.1,31.3,55.6
"Euskirchen, Kreis",1.6,14.2,13.3,5.7,20.8,11.5,27.1
"Heinsberg, Kreis",2.6,16.8,15.4,8.5,27,14.9,33.8
"Oberbergischer Kreis",1.4,41.7,40.2,7.3,27.6,24.3,37.7
"Rheinisch-Bergischer Kreis",0.9,17.4,16.9,7.5,28.8,17.4,40.1
"Rhein-Sieg-Kreis",3.7,34.8,32.4,15.9,62.5,38,79
"Bottrop, Kreisfreie Stadt",0.5,8.5,5,2.7,11.5,6.7,17.4
"Gelsenkirchen, Kreisfreie Stadt",0.1,15,12.3,6.7,25.9,21.9,43.1
"Münster, Kreisfreie Stadt",1.3,15.6,13,6.6,56,45.8,94.2
"Borken, Kreis",6.1,52,49.5,17.3,52.3,23.6,52.4
"Coesfeld, Kreis",4,17.8,17.1,6.1,25.3,11.9,32
"Recklinghausen, Kreis",2,37.7,28.7,15.7,61.1,37.2,90.1
"Steinfurt, Kreis",5,46,42.4,14,62.8,27.4,62.2
"Warendorf, Kreis",4.3,34.7,33.8,7.4,29.2,16.7,36.9
"Bielefeld, Kreisfreie Stadt",0.7,29.1,26.1,6.6,53.4,33.6,75.2
"Gütersloh, Kreis",3,67.8,66.1,11.6,53.5,31.4,43.1
"Herford, Kreis",1.1,37.2,35.7,7.1,31.5,16.1,32.4
"Höxter, Kreis",2,13.5,13,4.2,15.3,6.5,22.4
"Lippe, Kreis",2.2,37.1,35.6,8.8,36.7,18.9,54.4
"Minden-Lübbecke, Kreis",2.4,40.3,38.4,8.3,38.2,23,53.6
"Paderborn, Kreis",2.6,33.5,32.8,8.7,41.4,22.5,51
"Bochum, Kreisfreie Stadt",0.1,19.4,17.2,8.9,47.1,32.6,74.8
"Dortmund, Kreisfreie Stadt",0.3,33.1,27.4,13.9,85,67.6,109.6
"Hagen, Kreisfreie Stadt",0.2,19.1,17.4,3.9,26.1,15.3,33
"Hamm, Kreisfreie Stadt",0.4,11.8,10.6,4.5,22.2,12.5,29.5
"Herne, Kreisfreie Stadt",0.1,9.6,5.7,4.6,15.7,9.7,22.4
"Ennepe-Ruhr-Kreis",0.7,39.9,38.2,6.9,34,18.5,46
"Hochsauerlandkreis",2.7,41.1,39.1,8,32.4,18.2,43.9
"Märkischer Kreis",1.3,84.7,82.3,9.2,40.5,25.7,54.1
"Olpe, Kreis",0.8,31.9,31.3,3.6,14.6,8.2,18
"Siegen-Wittgenstein, Kreis",0.7,45.7,44.5,7.8,37.2,20.3,43.7
"Soest, Kreis",3.7,39.7,38.3,8.2,36,19.4,46.1
"Unna, Kreis",1.3,33.4,29,8.3,51.8,24.8,54.6
"Darmstadt, Kreisfreie Stadt",0.3,20.9,19.6,3.6,32.6,25.8,47
"Frankfurt am Main, Kreisfreie Stadt",0.5,51.7,44.5,19.3,212.8,232,162.8
"Offenbach am Main, Kreisfreie Stadt",0,7.8,6.6,4,16.6,16.5,21.2
"Wiesbaden, Landeshauptstadt, Kreisfreie Stadt",0.5,17.8,15.5,6.9,43.7,43,70.3
"Bergstraße, Landkreis",1.9,19.3,17.2,8.4,30.1,15.6,31.2
"Darmstadt-Dieburg, Landkreis",2.4,19.9,19,7.8,30.7,17.3,28.5
"Groß-Gerau, Landkreis",1.3,27.4,25.9,6.2,36.9,20.5,26.7
"Hochtaunuskreis",0.6,14.3,13.6,5.3,33.1,29.5,36.1
"Main-Kinzig-Kreis",1.8,37.5,35.4,12.8,44.7,31.6,47.2
"Main-Taunus-Kreis",0.6,10.5,9.6,5.6,41,32.7,26.9
"Odenwaldkreis",0.8,10.6,10.3,2.7,8,5.1,11.6
"Offenbach, Landkreis",0.6,24.3,22.1,10,55.7,36.2,32.6
"Rheingau-Taunus-Kreis",1.6,10.3,9.6,4.3,16.8,10.8,22.4
"Wetteraukreis",1.9,20.6,18.8,7.9,31.8,20.1,38.7
"Gießen, Landkreis",0.9,21.3,19.5,6.5,34.9,19.9,51
"Lahn-Dill-Kreis",0.6,37.7,36.4,6.6,27.5,16.4,36.2
"Limburg-Weilburg, Landkreis",0.9,12.1,11.3,7.2,19.9,11,24.9
"Marburg-Biedenkopf, Landkreis",1.3,33.1,32,5.6,23.7,15.7,47.6
"Vogelsbergkreis",1.6,11.3,10.6,3.2,10.2,4.4,15.6
"Kassel, Kreisfreie Stadt",0.2,21.2,18.4,5.1,36,30.3,57.7
"Fulda, Landkreis",2.1,25.9,24.6,8.9,34.4,19.6,35.7
"Hersfeld-Rotenburg, Landkreis",1.1,12,11.5,4.1,20.9,6.7,17.5
"Kassel, Landkreis",1.6,29.7,28.8,4.9,23.1,11.5,25.5
"Schwalm-Eder-Kreis",2,17.4,16.7,4.3,19.8,8.4,24.7
"Waldeck-Frankenberg, Landkreis",2.3,22.2,21.2,5.5,18.7,7.7,28.4
"Werra-Meißner-Kreis",1.4,7.6,7.1,3.3,9.7,4,16.7
"Koblenz, Kreisfreie Stadt",0.3,9.4,8.1,3,27,20.7,43.8
"Ahrweiler, Landkreis",1.4,8,7.8,3.9,15,5.9,17.7
"Altenkirchen (Westerwald), Landkreis",0.7,15.7,15.4,4.3,11.9,6.5,15.3
"Bad Kreuznach, Landkreis",1.8,14.1,13.4,4,18.3,9.8,26.2
"Birkenfeld, Landkreis",0.5,8.8,8.2,2.7,7.4,4.2,14.6
"Cochem-Zell, Landkreis",1.4,3.1,3,2.5,8,3.8,12.1
"Mayen-Koblenz, Landkreis",1.3,20.9,19.4,5.9,25.9,9.9,34
"Neuwied, Landkreis",0.9,19.4,18.4,5.6,18.5,10.4,27.2
"Rhein-Hunsrück-Kreis",1,10.9,10.5,4.7,13.7,5.8,17.4
"Rhein-Lahn-Kreis",0.8,9.8,9.4,3.3,11.6,5,18.3
"Westerwaldkreis",0.8,24.1,22.8,8.9,25.1,13.1,25.4
"Trier, Kreisfreie Stadt",0.3,9.3,7.6,3.1,23.1,10.1,34.5
"Bernkastel-Wittlich, Landkreis",2.6,15.3,14.6,4.7,12.9,6,16.3
"Eifelkreis Bitburg-Prüm",2.2,10.2,9.7,3.5,10.3,4.1,11.4
